"cid","name","parent_cid","level"
"120860002","S-上游","99","二级类目"
"120860003","G-怪物联盟","99","二级类目"
"120860005","内饰部件安装改装工时","50023951","三级类目"
"120860009","出租车配件安装工时","50023954","三级类目"
"120860012","义卖","120886001","二级类目"
"120864002","安全气囊部件安装改装工时","50023951","三级类目"
"120864005","B-百度币","99","二级类目"
"120864006","机构品牌衍生品","120860012","三级类目"
"120866002","车窗/玻璃安装更换工时","50023951","三级类目"
"120866003","转向系统部件安装改装工时","50023951","三级类目"
"120868003","W-我叫MT","99","二级类目"
"120868004","发动机/动力系统部件更换工时","50023951","三级类目"
"120868008","T-桃园","99","二级类目"
"120868009","S-三国争霸","99","二级类目"
"120870002","Q-QQ仙灵","99","二级类目"
"120870003","X-轩辕传奇","99","二级类目"
"120870004","L-老K游戏","99","二级类目"
"120872001","R-热血海贼王（淘宝专区）","50830007","三级类目"
"120872002","上门服务","50023950","三级类目"
"120872003","X-迅游","125950001","三级类目"
"120872004","B-碧之轨迹","99","二级类目"
"120874002","S-苏游","99","二级类目"
"120874004","V-VS金币","99","二级类目"
"120874006","车门拉手安装改装工时","50023951","三级类目"
"120878001","直通车数据分析","50672006","三级类目"
"120878004","名人明星捐赠品","120860012","三级类目"
"120878006","智能手环","124242008","二级类目"
"120880001","变速箱部件更换安装工时","50023951","三级类目"
"120880002","D-大冲锋","99","二级类目"
"120880007","ECU/系统升级改装工时","50023960","三级类目"
"120882001","悬挂系统部件安装改装工时","50023951","三级类目"
"120882002","F-凡人修仙传","99","二级类目"
"120882003","越野车外侧脚踏板安装工时","50023954","三级类目"
"120882006","其他","120860012","三级类目"
"120884001","点火系统部件安装改装工时","50023951","三级类目"
"120884004","空调及管道清洗","50023985","三级类目"
"120886001","公益","0","一级类目"
"120888002","B-霸域","99","二级类目"
"120888003","刹车系统部件安装改装工时","50023951","三级类目"
"120888004","个人或企业捐赠品","120860012","三级类目"
"120890001","D-YY币","125922001","三级类目"
"120890002","Y-御龙在天","99","二级类目"
"120892002","内饰改装翻新","50023954","三级类目"
"120892003","公开课","50050439","三级类目"
"120894001","淘女郎","0","一级类目"
"120940002","直充","120992001","三级类目"
"120942004","电子卡","120990001","三级类目"
"120950002","天猫点券","0","一级类目"
"120962004","视频/影像服务","127074009","三级类目"
"120964002","通用卡","120950002","二级类目"
"120966002","优站模板","50018588","三级类目"
"120970002","直通车管理（插件）","50018647","三级类目"
"120970003","直充","120964002","三级类目"
"120980002","直充","120994001","三级类目"
"120980003","实体卡","120964002","三级类目"
"120988001","优站周期型模板","120966002","三级类目"
"120990001","品牌卡","120950002","二级类目"
"120990002","实体卡","120990001","三级类目"
"120992001","类目卡","120950002","二级类目"
"120994001","店铺卡","120950002","二级类目"
"120996001","直充","120990001","三级类目"
"120998001","实体卡","120992001","三级类目"
"121000001","电子卡","120992001","三级类目"
"121002001","实体卡","120994001","三级类目"
"121004001","电子卡","120994001","三级类目"
"121006001","电子卡","120964002","三级类目"
"121008001","受助人生产或创作品","120860012","三级类目"
"121030001","直通车代运营（原客服）","124474004","三级类目"
"121066001","3D建模","50672006","三级类目"
"121120002","EPE珍珠棉","121138001","三级类目"
"121124002","C-苍穹之剑","99","二级类目"
"121128001","D-斗破苍穹","99","二级类目"
"121132002","D-豆客CS平台","99","二级类目"
"121138001","物流包装","98","二级类目"
"121140003","其他电子书","50826002","三级类目"
"121142001","纸箱","121138001","三级类目"
"121146003","Z-醉逍遥","99","二级类目"
"121148001","飞机盒","121138001","三级类目"
"121148003","P-拍拍部落","99","二级类目"
"121154001","加氟","50696004","三级类目"
"121156002","A-奥比岛","99","二级类目"
"121162002","P-皮卡堂","99","二级类目"
"121166003","Z-掌上宝","99","二级类目"
"121178002","X-新侠义道","99","二级类目"
"121196001","T-天翼决","99","二级类目"
"121210002","宗教服务及其用品","50019293","三级类目"
"121244001","保单交易","50024186","二级类目"
"121244002","S-神雕侠侣","123710001","三级类目"
"121254001","C-超能战联","99","二级类目"
"121262001","L-烈焰（淘宝专区）","50830007","三级类目"
"121266001","众筹","0","一级类目"
"121270001","L-炉石传说","99","二级类目"
"121270003","旅游婚纱摄影","50050471","二级类目"
"121272001","J-剑灵","99","二级类目"
"121274002","书籍","121266001","二级类目"
"121278001","影音","121266001","二级类目"
"121280001","公益","121266001","二级类目"
"121282001","车险秒杀","50024187","三级类目"
"121282004","配送服务","50019809","三级类目"
"121284001","娱乐","121266001","二级类目"
"121286003","安装服务","50019809","三级类目"
"121288001","科技","121266001","二级类目"
"121290002","T-淘米一卡通","99","二级类目"
"121292001","家生活","121266001","二级类目"
"121292002","C-唱吧","125922001","三级类目"
"121294001","A-爱奇艺","125950001","三级类目"
"121318001","搬楼服务","50019809","三级类目"
"121360001","H-狐狸三国","99","二级类目"
"121362001","车险预售","50024187","三级类目"
"121364003","儿童家居服","50008165","二级类目"
"121364004","背心吊带","50008165","二级类目"
"121364007","指甲彩妆","121398006","三级类目"
"121364011","桌旗","122950002","三级类目"
"121364012","铁饼架","50017269","三级类目"
"121364013","浴巾","50014248","三级类目"
"121364015","聚会装饰头箍","50015996","三级类目"
"121364023","足膜","121380032","三级类目"
"121364026","男士唇部磨砂膏","121368010","三级类目"
"121364027","男士浴盐","121368010","三级类目"
"121364028","手饰","121418029","三级类目"
"121364029","胶枪","121398030","三级类目"
"121364031","家庭园艺种子","121414042","三级类目"
"121364032","碗","50015285","三级类目"
"121364034","摆件","50416004","三级类目"
"121364035","烟嘴","121480039","三级类目"
"121364036","砂纸","121448035","三级类目"
"121364037","摆件","121390022","三级类目"
"121364038","发饰","121396043","三级类目"
"121364039","车挂","121416036","三级类目"
"121364040","烟嘴","121454046","三级类目"
"121364041","发饰","121454046","三级类目"
"121364043","车挂","121434050","三级类目"
"121364046","蒸格","50002802","三级类目"
"121364047","婴童床单","124696021","三级类目"
"121366002","贵宾休息室","121370002","三级类目"
"121366006","家居袍/睡袍","121364003","三级类目"
"121366007","家居服连体衣","121364003","三级类目"
"121366008","果汁瓶","50009521","三级类目"
"121366010","口袋巾","50010404","二级类目"
"121366011","胸部护理（新）","1801","二级类目"
"121366014","身体磨砂","121466009","三级类目"
"121366015","唇膜","121448009","三级类目"
"121366017","沙发","121384016","三级类目"
"121366018","端子","121705","三级类目"
"121366019","烘焙机","50012550","三级类目"
"121366022","滑雪护具","50014025","三级类目"
"121366023","制冰机","50008543","三级类目"
"121366024","暖宝宝贴","121464013","三级类目"
"121366026","笔架","50012645","三级类目"
"121366028","食用油","121448014","三级类目"
"121366031","音叉","50017319","三级类目"
"121366033","身体皂","121380032","三级类目"
"121366034","专柜swarovski水晶（新）","50011397","二级类目"
"121366035","其他","121402026","三级类目"
"121366036","男士沐浴露","121368010","三级类目"
"121366037","胸饰","121418029","三级类目"
"121366038","芽接刀","121368032","三级类目"
"121366039","种球","121414042","三级类目"
"121366041","兔兔医疗用品","50015292","三级类目"
"121366043","罐","50001931","三级类目"
"121366044","保养油","121382039","三级类目"
"121366045","烟嘴","121404038","三级类目"
"121366046","黑胶唱片机","121390022","三级类目"
"121366047","颈饰","121406042","三级类目"
"121366048","笔搁","121454046","三级类目"
"121366050","法轮","50458010","三级类目"
"121366051","点火用具","50014757","三级类目"
"121368002","证件包","50006842","二级类目"
"121368004","手链","121392004","三级类目"
"121368009","抱被","122854005","三级类目"
"121368010","男士护理（新）","1801","二级类目"
"121368011","护脐贴","50016748","三级类目"
"121368012","笔","122954001","三级类目"
"121368013","手膜","121390007","三级类目"
"121368014","喷雾","121466009","三级类目"
"121368015","熏香台座","121434015","三级类目"
"121368016","量秤","50012550","三级类目"
"121368017","护发素","50014248","三级类目"
"121368020","旅行包","121398019","三级类目"
"121368025","挂历","21","二级类目"
"121368026","乐器指甲","50017319","三级类目"
"121368027","橡筋","122958002","三级类目"
"121368029","乳晕护理","121478023","三级类目"
"121368032","园艺/刀/剪/锯（新）","50007010","三级类目"
"121368033","铲子","121400033","三级类目"
"121368037","其他","121388039","三级类目"
"121368038","颈饰","121482032","三级类目"
"121368040","盒子","121388042","三级类目"
"121368042","珠宝奇石","121454046","三级类目"
"121368044","手饰","121476046","三级类目"
"121368045","钺刀","50458010","三级类目"
"121368046","珠宝半成品","121384043","三级类目"
"121368047","车挂","121476050","三级类目"
"121370001","动漫游戏展/演出票","124484008","二级类目"
"121370002","航司增值服务","121380001","二级类目"
"121370004","机票+接送机","121388002","三级类目"
"121370007","袖套","50003949","三级类目"
"121370008","围裙","50003949","三级类目"
"121370009","浴刷","50009146","三级类目"
"121370010","挂历","50000813","三级类目"
"121370012","保温箱","50016455","三级类目"
"121370016","烧烤炉","50012549","三级类目"
"121370019","哺乳吊带","50023613","三级类目"
"121370021","热电偶","50021211","三级类目"
"121370023","胶带","50017319","三级类目"
"121370025","护牙素","50448024","三级类目"
"121370028","其他DIY饰品配件","121408037","三级类目"
"121370030","花瓶/花器/花盆/花架（新）","50007216","二级类目"
"121370031","笼子","121476039","三级类目"
"121370032","兔绳","50015292","三级类目"
"121370033","饮水器","50015292","三级类目"
"121370034","茶碗","121458041","三级类目"
"121370035","笔搁","121480039","三级类目"
"121370037","颈饰","121434050","三级类目"
"121370039","笔搁","121412046","三级类目"
"121370040","颈饰","121454047","三级类目"
"121370041","珠宝半成品","121476048","三级类目"
"121370042","发饰","121394034","三级类目"
"121380001","国内机票/国际机票/增值服务","0","一级类目"
"121380002","儿童内衣裤","50008165","二级类目"
"121380009","床盖","50008163","二级类目"
"121380011","窗帘杆","122948001","三级类目"
"121380014","剑","50017970","三级类目"
"121380015","头盔","50019119","三级类目"
"121380017","止痒膏","121388024","三级类目"
"121380018","挂历","50016353","三级类目"
"121380022","运动首饰","50510002","二级类目"
"121380025","湿巾","50006000","三级类目"
"121380027","磁性贴","50008876","三级类目"
"121380028","调音器","50017319","三级类目"
"121380031","手部护理（新）","50026457","三级类目"
"121380032","身体护理（新）","50026457","三级类目"
"121380034","花心","121484032","三级类目"
"121380035","垫子","121384035","三级类目"
"121380037","珠宝半成品","121394028","三级类目"
"121380038","发饰","121410041","三级类目"
"121380039","腕表","121390022","三级类目"
"121380040","珠宝半成品","121406042","三级类目"
"121380042","颈饰","121396043","三级类目"
"121380043","手饰","121384043","三级类目"
"121380044","发饰","121404041","三级类目"
"121380045","车挂","121456040","三级类目"
"121380046","车挂","121412046","三级类目"
"121382001","增值服务","121380001","二级类目"
"121382003","机票+酒店","121390001","三级类目"
"121382005","Z-植物大战僵尸","99","二级类目"
"121382006","T-天天连萌","99","二级类目"
"121382013","家居服上装","121364003","三级类目"
"121382014","高光","50010788","二级类目"
"121382018","曲柄","122738001","三级类目"
"121382021","牙胶","50012448","三级类目"
"121382022","护耳贴","50012455","三级类目"
"121382023","桌子","121384016","三级类目"
"121382029","装卸车","50020612","三级类目"
"121382031","手膜","121380031","三级类目"
"121382032","电源转换器","50022745","三级类目"
"121382033","被子","121484028","三级类目"
"121382034","手揉纸","121484032","三级类目"
"121382035","猫/狗药品","124406003","三级类目"
"121382036","服饰","50015292","三级类目"
"121382037","木屑","121388039","三级类目"
"121382038","蚂蚁","50008622","三级类目"
"121382039","玉器鉴定/保养工具（新）","50005060","三级类目"
"121382040","烟嘴","121410041","三级类目"
"121382041","量规","50444006","三级类目"
"121382042","珠宝奇石","121468034","三级类目"
"121382047","僧服","50458010","三级类目"
"121382048","僧袜","50458010","三级类目"
"121382050","珠宝奇石","121400039","三级类目"
"121382051","手饰","121454047","三级类目"
"121382056","急救用品","121448012","三级类目"
"121384005","手机包","50006842","二级类目"
"121384007","磨豆机","122974003","三级类目"
"121384010","购物篮","122972001","三级类目"
"121384015","缝纫DIY工具套装","122954001","三级类目"
"121384016","设计师家具（NEW）","50008164","二级类目"
"121384017","椅子","121384016","三级类目"
"121384019","修正贴","50005757","三级类目"
"121384022","腰包","50510002","二级类目"
"121384023","钱包","121456019","三级类目"
"121384024","装饰碗","50020836","三级类目"
"121384026","焗油帽子","50009146","三级类目"
"121384028","变调夹","50017313","三级类目"
"121384030","唇膜","121414033","三级类目"
"121384032","颈饰","121420031","三级类目"
"121384033","其他","121392034","三级类目"
"121384034","耳饰","121366034","三级类目"
"121384035","床/垫/沙发（新）","50015285","三级类目"
"121384036","床","121384035","三级类目"
"121384037","食盆","50015292","三级类目"
"121384038","盒","50001931","三级类目"
"121384039","珠宝奇石","121410043","三级类目"
"121384040","银器（新）","50019273","三级类目"
"121384041","烟嘴","121406043","三级类目"
"121384042","车挂","121454046","三级类目"
"121384043","古玉/老玉（新）","50024158","三级类目"
"121384044","手饰","121456040","三级类目"
"121384045","颈饰","121476048","三级类目"
"121384046","手饰","121412048","三级类目"
"121384047","颈饰","121454049","三级类目"
"121384048","发饰","121450043","三级类目"
"121384049","发饰","121426050","三级类目"
"121386003","A-暗黑复仇者","99","二级类目"
"121386005","胶浆","122888002","三级类目"
"121386009","床幔","50008163","二级类目"
"121386010","划粉","122954001","三级类目"
"121386011","沐浴露","121466009","三级类目"
"121386012","烧烤针","121410017","三级类目"
"121386013","沐浴露","121424015","三级类目"
"121386014","笔筒","50012645","三级类目"
"121386015","磁性贴","50012676","三级类目"
"121386019","信纸","50012676","三级类目"
"121386020","手包","50510002","二级类目"
"121386021","钥匙包","121456019","三级类目"
"121386023","假睫毛","50010788","二级类目"
"121386026","假发支架","122438002","三级类目"
"121386027","自动变速箱油","125034010","三级类目"
"121386028","宠物垫","50014480","三级类目"
"121386029","身体护理套装","121380032","三级类目"
"121386030","乳房护理套装","121478023","三级类目"
"121386032","创意抱枕","122968003","三级类目"
"121386034","首饰盒","121408038","三级类目"
"121386035","男士喷雾","121368010","三级类目"
"121386036","小宠保健品","121476041","三级类目"
"121386037","军帽","50008584","三级类目"
"121386038","军用外套","50008584","三级类目"
"121386039","盘","50416004","三级类目"
"121386040","摩尼宝","50458010","三级类目"
"121386041","笔搁","121456040","三级类目"
"121386042","颈饰","121400039","三级类目"
"121386043","手饰","121450043","三级类目"
"121386046","火柴","121366051","三级类目"
"121386047","点火器","121366051","三级类目"
"121388001","航司机票套票","121380001","二级类目"
"121388002","机票套餐","121380001","二级类目"
"121388004","二手房房源","121738002","三级类目"
"121388006","脚镯","50000813","三级类目"
"121388007","阴影","50010788","二级类目"
"121388008","彩妆盘","50010788","二级类目"
"121388010","计分牌","50017205","三级类目"
"121388012","黑头导出液","121408009","三级类目"
"121388013","丰胸乳霜","121366011","三级类目"
"121388015","缝纫机","122954001","三级类目"
"121388016","颈霜","121466009","三级类目"
"121388017","精油搅拌棒","121434015","三级类目"
"121388018","精油量杯","121434015","三级类目"
"121388020","收音头","50011972","二级类目"
"121388021","名片盒","50012645","三级类目"
"121388022","文件夹","50012645","三级类目"
"121388024","驱蚊退烧用品","50014812","二级类目"
"121388025","男士粉底","121398020","三级类目"
"121388026","杂物袋","121462024","三级类目"
"121388027","双肩包","121434026","三级类目"
"121388028","冰箱磁性贴","50020840","三级类目"
"121388029","假发梳子","122438002","三级类目"
"121388031","足部磨砂膏","121380032","三级类目"
"121388032","车壳","50018786","三级类目"
"121388035","投资贵金属","121422036","三级类目"
"121388038","体温计","121466042","三级类目"
"121388039","小宠用品（新）","50015293","三级类目"
"121388040","颈饰","121394028","三级类目"
"121388041","炉","50432004","三级类目"
"121388042","通用工具（新）","50005060","三级类目"
"121388043","颈饰","121416036","三级类目"
"121388044","珠宝半成品","121450043","三级类目"
"121388045","裙子(新)","50008165","二级类目"
"121390001","航司机票套餐","121380001","二级类目"
"121390006","面膜（新）","1801","二级类目"
"121390007","手部保养（新）","1801","二级类目"
"121390009","水杯","50019712","三级类目"
"121390010","水盆","50019712","三级类目"
"121390011","可爱印泥","50005757","三级类目"
"121390012","家居裙","50023613","三级类目"
"121390013","浴足剂","50456019","三级类目"
"121390017","唇部护理套装","121414033","三级类目"
"121390019","保养鉴定用品","50013864","二级类目"
"121390020","秋千","121476039","三级类目"
"121390021","发饰","121404038","三级类目"
"121390022","西洋收藏品（新）","23","二级类目"
"121390023","发饰","121406042","三级类目"
"121390024","珠宝奇石","121406043","三级类目"
"121390025","珠宝半成品","121410045","三级类目"
"121390026","颈饰","121454046","三级类目"
"121390027","道鞋","50458010","三级类目"
"121390028","珠宝奇石","121434049","三级类目"
"121390029","颈饰","121400037","三级类目"
"121390030","笔搁","121476050","三级类目"
"121390032","车挂","121420054","三级类目"
"121390033","颈饰","121394034","三级类目"
"121390035","微模版","50018588","三级类目"
"121392003","钥匙包","50006842","二级类目"
"121392004","儿童配饰","50008165","二级类目"
"121392011","花露水","50456019","三级类目"
"121392014","纤体绷带","124822006","三级类目"
"121392015","止汗露","121466009","三级类目"
"121392016","润唇啫喱","121448009","三级类目"
"121392018","刨冰机","50008543","三级类目"
"121392019","竹签","121410017","三级类目"
"121392021","发牌机","124488008","三级类目"
"121392022","麻将机","50023508","三级类目"
"121392024","防辐射裙","50012374","三级类目"
"121392028","塑型用品（新）","50023068","三级类目"
"121392029","泡澡花瓣","50458018","三级类目"
"121392030","唇部精华","121414033","三级类目"
"121392031","一次性方向盘保护套","50014480","三级类目"
"121392033","其他天然玉石","50011397","二级类目"
"121392034","翡翠（新）","50011397","二级类目"
"121392036","男士止汗露","121368010","三级类目"
"121392037","男士爽肤水","121368010","三级类目"
"121392038","颈饰","121418029","三级类目"
"121392039","温度计/湿度计（新）","50007010","三级类目"
"121392041","台历","50001931","三级类目"
"121392042","蜂蜡","121382039","三级类目"
"121392043","摆件","121384040","三级类目"
"121392044","陶瓷/茶杯茶壶（新）","50019288","三级类目"
"121392047","烟嘴","121384043","三级类目"
"121392048","珠宝半成品","121400037","三级类目"
"121392049","发饰","121456040","三级类目"
"121392050","烟嘴","121454047","三级类目"
"121392052","笔搁","121394033","三级类目"
"121392053","手饰","121426050","三级类目"
"121394006","内衣套装","121380002","三级类目"
"121394007","床笠","50008163","二级类目"
"121394008","热熔胶棒","122954001","三级类目"
"121394009","固态酒精","121476011","三级类目"
"121394010","聚会装饰套装","50015996","三级类目"
"121394011","防雨罩","50006020","三级类目"
"121394012","孕妇婚纱","50012354","三级类目"
"121394015","化妆品货架","50015518","三级类目"
"121394018","塑身腰腹带","121482019","三级类目"
"121394019","活塞","50078001","三级类目"
"121394023","线","121408037","三级类目"
"121394024","男士精油","121368010","三级类目"
"121394025","男士身体乳","121368010","三级类目"
"121394026","彩带","121484032","三级类目"
"121394028","琉璃（新）","50450016","三级类目"
"121394029","车挂","121404038","三级类目"
"121394030","摆件","121434044","三级类目"
"121394031","笔搁","121410045","三级类目"
"121394033","孔雀石（新）","50024158","三级类目"
"121394034","刚玉（新）","50024158","三级类目"
"121396004","鞋撑","50006528","三级类目"
"121396005","秋千","50023508","三级类目"
"121396006","泳帽","121464004","三级类目"
"121396007","太阳镜","121392004","三级类目"
"121396013","身体乳/霜","121466009","三级类目"
"121396015","高尔夫杆包","121434017","三级类目"
"121396016","筹码","50017871","三级类目"
"121396017","功能内衣内裤","50013888","三级类目"
"121396024","男士BB霜","121398020","三级类目"
"121396025","鞋袋","121462024","三级类目"
"121396026","冰箱贴纸","50020840","三级类目"
"121396027","焗油梳子","50009146","三级类目"
"121396029","洗发水","50023282","二级类目"
"121396030","茶海","123004001","三级类目"
"121396034","首饰展示架","121408038","三级类目"
"121396035","首饰箱","121408038","三级类目"
"121396036","男士唇部精华","121368010","三级类目"
"121396038","领结","121458037","三级类目"
"121396039","笼子","50015292","三级类目"
"121396040","烟丝盒","50019283","三级类目"
"121396041","盘","50432004","三级类目"
"121396042","手饰","121410041","三级类目"
"121396043","紫牙乌/石榴石（新）","50024158","三级类目"
"121396044","颈饰","121384040","三级类目"
"121396046","其他","121434050","三级类目"
"121396047","打火石/点火棒","121366051","三级类目"
"121398003","基膜","122888002","三级类目"
"121398006","指甲油/美甲产品（新）","50010788","二级类目"
"121398007","色带","50024248","三级类目"
"121398012","窗帘轨道","122948001","三级类目"
"121398013","精油瓶","121434015","三级类目"
"121398014","暖手宝","50012512","三级类目"
"121398016","蚊香液","121388024","三级类目"
"121398017","秋衣裤套装","50023613","三级类目"
"121398019","旅行箱包","50510002","二级类目"
"121398020","男士彩妆（新）","50010788","二级类目"
"121398022","其它假发配件","122438002","三级类目"
"121398023","贴纸","50008876","三级类目"
"121398024","公道杯","123004001","三级类目"
"121398026","分动箱油","125034010","三级类目"
"121398029","男士润唇膏","121368010","三级类目"
"121398030","制作工具（新）","290503","三级类目"
"121398033","玩具","50015292","三级类目"
"121398034","围棋","50454001","三级类目"
"121398035","盖碗","121458041","三级类目"
"121398037","珠宝半成品","121456040","三级类目"
"121398038","颈饰","121450043","三级类目"
"121400002","机场周边停车位","121382001","三级类目"
"121400005","卡包","50006842","二级类目"
"121400006","卡套","50006842","二级类目"
"121400010","除毛凝胶","121466009","三级类目"
"121400011","泳镜","50012455","三级类目"
"121400012","高尔夫衣物包","121434017","三级类目"
"121400013","发牌机","50017871","三级类目"
"121400014","杯子","50012550","三级类目"
"121400017","证件包","121456019","三级类目"
"121400018","化妆套刷","122438001","三级类目"
"121400019","腿套","50510002","二级类目"
"121400022","杀菌消炎剂","50448024","三级类目"
"121400023","眼胶","121456026","三级类目"
"121400027","扣","121408037","三级类目"
"121400028","其他","121470039","三级类目"
"121400029","颈饰","121470039","三级类目"
"121400030","胸饰","121422036","三级类目"
"121400031","铁丝","121484032","三级类目"
"121400032","模具","121398030","三级类目"
"121400033","铲/耙/锹/锄（新）","50007010","三级类目"
"121400034","畜牧药品","124406003","三级类目"
"121400035","茶壶","121458041","三级类目"
"121400037","其它玉石（新）","50024158","三级类目"
"121400038","珠宝奇石","121456040","三级类目"
"121400039","锆石（新）","50024158","三级类目"
"121400040","珠宝奇石","121476048","三级类目"
"121400041","车挂","121412048","三级类目"
"121400042","颈饰","121424034","三级类目"
"121400043","珠宝奇石","121394033","三级类目"
"121400044","微模版周期模版","121390035","三级类目"
"121400046","拆信刀","50005747","三级类目"
"121402003","肚兜","121476002","三级类目"
"121402005","鼻帖","121408009","三级类目"
"121402008","手部保养套装","121390007","三级类目"
"121402013","热水袋套","50012512","三级类目"
"121402018","男士眼影","121398020","三级类目"
"121402020","轴承","50078001","三级类目"
"121402021","手部磨砂膏","121380032","三级类目"
"121402024","眼胶","50448025","三级类目"
"121402026","彩色宝石/贵重宝石","50011397","二级类目"
"121402027","耳饰","121392034","三级类目"
"121402028","手饰","121422036","三级类目"
"121402029","卡通花","121418033","三级类目"
"121402030","手术台","121466042","三级类目"
"121402031","棋罐","50454001","三级类目"
"121402033","珠宝奇石","121406042","三级类目"
"121402036","发饰","121400039","三级类目"
"121402037","珠宝半成品","121424034","三级类目"
"121402038","烟嘴","121424034","三级类目"
"121404002","租房房源","121744004","三级类目"
"121404004","家居裤/睡裤","121364003","三级类目"
"121404005","领结","121392004","三级类目"
"121404006","腰带","121392004","三级类目"
"121404009","换人牌","50017240","三级类目"
"121404011","固齿器","50012448","三级类目"
"121404016","宝宝零食","35","二级类目"
"121404017","塑身上衣","50023660","三级类目"
"121404018","塑身连体衣","50023660","三级类目"
"121404019","陀螺","2512","三级类目"
"121404021","焗油碗","50009146","三级类目"
"121404022","洗漱杯","2132","三级类目"
"121404023","苍蝇拍","50025838","三级类目"
"121404026","牙齿美白脱色剂","50448024","三级类目"
"121404028","头枕","50014480","三级类目"
"121404029","创意颈枕","122968003","三级类目"
"121404030","男士颈霜","121368010","三级类目"
"121404031","男士护理套装","121368010","三级类目"
"121404032","钳","121398030","三级类目"
"121404034","钳","121466042","三级类目"
"121404035","秋千","121388039","三级类目"
